Narela	Baljeet Singh Maan
Burari	Sanjeev Jha
Bawana	Gajanand
Mundka	Krishan Kumar
Kirarinew	Rajan Prakash
Shalimar Bagh	Bandana Kumari
Shakur Basti	Satyendra Kumar Jain
Model Town	Akhileshpati Tripathi
Sadar Bazar	Somdutt Sharma
Matia Mahal	Shaqeel Anjum Dehalvi
Ballimaran	Farhana Anjum
Karol Bagh	Vishesh Ravi
Hari Nagar	Jagdeep Singh
Tilak Nagar	Jarnail Singh
Janakpuri	Rajesh Rishi
Dwarka	Ravi Suryan
Matiala	Gulab Singh Yadav
Najafgarh	Mukesh Kumar Dagar
Bijwasan	Col. Devindra Sehrawat (Retd)
Delhi Cantt	Commando Surinder Singh
New Delhi	Arvind Kejriwal
Malviya Nagar	Somnath Bharti
R K Puram	Shazia Ilmi
Mehrauli	Narender Singh Sejwal
Chhatarpur	Hrishipal Pehalwan
Sangam Vihar	Dinesh Mohaniya
Greater Kailash	Saurabh Bhardwaj
Tughlakabadnew	Manoj Rai
Trilokpuri	Raju Dhingan
Kondli	Manoj Kumar
Patparganj	Manish Sisodia
Laxmi Nagar	Vinod Kr. Binny
Vishwas Nagar	Dr. Atul Gupta
Krishna Nagar	Sushil Chauhan
Gandhi Nagar	Anil Kumar Vajpayi
Shahdara	Surendra Kumar Sharma
Seemapuri	Dharmender Singh Koli
Rohtas Nagar	Mukesh Hooda
Seelampur	Aftab Ahmad
Babarpur	Gopal Rai
Gokalpur	Devi Dayal(Murtiwala)
Mustafabad	Kapil Kumar Dhama
Karawal Nagar	Kapil Mishra
